Chemical Name,CAS#,Function,product page URL,product name
Kaolin,1332-58-7,Builder,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Water,7732-18-5,Solvent,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Sodium Lauryl Sulfate,68955-19-1,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Polyvinyl Alcohol,9002-89-5,Stabilizer,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Silica,110615-47-9,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Caprylyl/Capryl Glucoside,110615-47-9,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Cocamidopropyl Betaine,61789-40-0,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Glycerin,56-81-5,Solvent,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Sodium Citrate,6132-04-3,Water Softener,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
PEG-12 Dimethicone,67762-85-0,Defoaming agent,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Cocamidopropylamine Oxide,68155-09-9,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Saponins,8047-15-2,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Propylene Glycol,57-55-6,Solvent,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Phenoxyethanol,122-99-6,Preservative,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Protease,9014-01-1,Enzyme,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Citric Acid,77-92-9,pH adjuster,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Dimethicone,63148-62-9,Polymer,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/ecos-liquidless-laundry-detergent-squares-free-clear/,ECOS® Liquidless Laundry Detergent Squares - Free & Clear
Kaolin,1332-58-7,Builder,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Water,7732-18-5,Solvent,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Sodium Lauryl Sulfate,68955-19-1,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Polyvinyl Alcohol,9002-89-5,Stabilizer,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Silica,110615-47-9,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Caprylyl/Capryl Glucoside,110615-47-9,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Cocamidopropyl Betaine,61789-40-0,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Glycerin,56-81-5,Solvent,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Sodium Citrate,6132-04-3,Water Softener,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
PEG-12 Dimethicone,67762-85-0,Defoaming agent,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Cocamidopropylamine Oxide,68155-09-9,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Saponins,8047-15-2,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Propylene Glycol,57-55-6,Solvent,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Phenoxyethanol,122-99-6,Preservative,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
Fragrance,Proprietary Blend,Fragrance,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-magnolia-lily,ECOS® Liquidless Laundry Detergent Squares - Magnolia & Lily
